Year,inflation_multiplier
1970,8.40
1971,7.98
1972,7.73
1973,7.46
1974,6.82
1975,6.10
1976,5.71
1977,5.43
1978,5.08
1979,4.65
1980,4.08
1981,3.65
1982,3.37
1983,3.25
1984,3.12
1985,3.01
1986,2.90
1987,2.86
1988,2.75
1989,2.62
1990,2.49
1991,2.36
1992,2.30
1993,2.23
1994,2.17
1995,2.11
1996,2.06
1997,2.00
1998,1.97
1999,1.93
2000,1.88
2001,1.81
2002,1.79
2003,1.75
2004,1.72
2005,1.67
2006,1.60
2007,1.57
2008,1.50
2009,1.50
2010,1.47
2011,1.44
2012,1.40
2013,1.38
2014,1.36
2015,1.36
2016,1.34
2017,1.31
2018,1.28
2019,1.26
2020,1.23
2021,1.21
2022,1.13
2023,1.06
2024,1.03